Familia,Tipo,FechaCompleta,Porcentaje,Valor,Dia,Hora,BajasEmisiones
Renovable,Eólica,2023-01-17T23:00:00.000Z,0.6791971444119882,360032.13,2023-01-17,23:00:00,true
Renovable,Eólica,2023-01-18T23:00:00.000Z,0.6805737203201853,377397.609,2023-01-18,23:00:00,true
Renovable,Eólica,2023-01-19T23:00:00.000Z,0.5907305201899192,277913.145,2023-01-19,23:00:00,true
Renovable,Eólica,2023-01-20T23:00:00.000Z,0.5998192734224572,274156.087,2023-01-20,23:00:00,true
Renovable,Eólica,2023-01-21T23:00:00.000Z,0.6029955265043224,295888.243,2023-01-21,23:00:00,true
Renovable,Eólica,2023-01-22T23:00:00.000Z,0.5886938787980481,315925.895,2023-01-22,23:00:00,true
Renovable,Eólica,2023-01-23T23:00:00.000Z,0.5047481999364445,240924.599,2023-01-23,23:00:00,true
Renovable,Eólica,2023-01-24T23:00:00.000Z,0.46744508129943324,225922.598,2023-01-24,23:00:00,true
Renovable,Eólica,2023-01-25T23:00:00.000Z,0.5835656193866411,319319.122,2023-01-25,23:00:00,true
Renovable,Eólica,2023-01-26T23:00:00.000Z,0.5925204678731201,343516.399,2023-01-26,23:00:00,true
Renovable,Eólica,2023-01-27T23:00:00.000Z,0.592648004031076,305861.764,2023-01-27,23:00:00,true
Renovable,Eólica,2023-01-28T23:00:00.000Z,0.529410736482296,232180.144,2023-01-28,23:00:00,true
Renovable,Eólica,2023-01-29T23:00:00.000Z,0.37816591656601123,156727.856,2023-01-29,23:00:00,true
Renovable,Eólica,2023-01-30T23:00:00.000Z,0.45660260734678637,212205.428,2023-01-30,23:00:00,true
Renovable,Solar fotovoltaica,2022-12-31T23:00:00.000Z,0.12394956202884046,34884.378,2022-12-31,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-01T23:00:00.000Z,0.11490688505378394,31910.465,2023-01-01,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-02T23:00:00.000Z,0.18143514739523864,53960.242,2023-01-02,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-03T23:00:00.000Z,0.2061237358974471,58440.592,2023-01-03,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-04T23:00:00.000Z,0.21995674938822057,58482.087,2023-01-04,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-05T23:00:00.000Z,0.19003286361260296,55227.969,2023-01-05,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-06T23:00:00.000Z,0.08486466530985831,36324.455,2023-01-06,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-07T23:00:00.000Z,0.03664524994095239,17724.326,2023-01-07,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-08T23:00:00.000Z,0.10702542613611264,50032.633,2023-01-08,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-09T23:00:00.000Z,0.10917839608835626,46161.224,2023-01-09,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-10T23:00:00.000Z,0.09306458233250696,37356.177,2023-01-10,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-11T23:00:00.000Z,0.15513800162864652,60791.48,2023-01-11,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-12T23:00:00.000Z,0.1419559741161285,55487.698,2023-01-12,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-13T23:00:00.000Z,0.14620757280765484,57882.967,2023-01-13,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-14T23:00:00.000Z,0.09909509534757996,42373.629,2023-01-14,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-15T23:00:00.000Z,0.05734768792672941,31095.19,2023-01-15,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-16T23:00:00.000Z,0.0715732976517742,38122.937,2023-01-16,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-17T23:00:00.000Z,0.10785315377894109,57171.325,2023-01-17,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-18T23:00:00.000Z,0.11033546204250094,61184.172,2023-01-18,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-19T23:00:00.000Z,0.11548554901245874,54330.953,2023-01-19,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-20T23:00:00.000Z,0.13227918827720683,60460.119,2023-01-20,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-21T23:00:00.000Z,0.15300856264845863,75080.88,2023-01-21,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-22T23:00:00.000Z,0.13768509150210229,73889.482,2023-01-22,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-23T23:00:00.000Z,0.13051683669275396,62297.828,2023-01-23,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-24T23:00:00.000Z,0.1535086208574355,74192.815,2023-01-24,23:00:00,true
